"file","page","page_url","order","section","alt","src_url"
"aulas__cronograma-1-2022-2_003.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","3","","","https://lh3.googleusercontent.com/sitesv/AA5AbUA2oN8J1n1RkptMU3oyQ-BoponQHhZ5obbGv6zdZwsVBg9eNtN1uvAeBkCYWA2aTqyvlZd-T0p6KLHdvQsEffvQJ0gmzcTm46iPdVFXOA--MtBdEKv1j-o08TAdZBwVLaBugaZWFlSdhmkAvVb77ctL1KkyKh8IcokoBzwsEBAizr6SDu1tixm6bywQ-tFMwSwI5OiKQntEuhwyBtsT4cjWf7f80u1v_zNx9FY=w1280"
"aulas__cronograma-1-2022-2_004.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","4","","","https://lh3.googleusercontent.com/sitesv/AA5AbUCNW3gC_17AHI-EmqvLeb1SzVi8vjXdJJGxyqSNbqcDJQGtqZXMYSOddbfPZJi0PS8ciQc6zj5J-dAsdnNX380U8t4lmL8fA5Q9Q2icA2t1NkOAxrtf5OloTx8YaRh9Dbmed2YwBJkBlBfy-qw-Mfc1G2OsUq007Kt1-7XByLYT1E5MH3kLv-QmNBV6CxkgSMoTRsXm5zkqfcMpUfEIkGDfSxOK9AWWb0VORo0=w1280"
"aulas__cronograma-1-2022-2_005.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","5","","","https://lh3.googleusercontent.com/sitesv/AA5AbUCk8tgDgkVrGoHl_ntz2xw0Iwf2osAHTpQHx1z0umIiYd90HVZvwwu0LLee8fp2zcA6B3BOVyLA-84le6RW-XHJo3Yv-tB86X_vWj7FSiXBkwhOCJSY4JsN4BfLTBehyDhMzjW5bnBdbyFClEL1ZjNdG7rYbodMKoCndrIleS4n2ZqDHukhFHtZ-LaqlQFdcnOQYAXfMAfnM2_n1ZaXyaefbeoDBAAV-NuGphU=w1280"
"aulas__cronograma-1-2022-2_006.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","6","","","https://lh3.googleusercontent.com/sitesv/AA5AbUDby1kZ8ooHIL8JgKVrOBtcrNeu3e_kmS3Y57mPZdNZZnGa0agjTJmikkmbVeiUFowMCa2woWlba4ooflymJCTYC86Gs18Y_UYrb1dQHqsDPsSPZVS-WLEwMFeFFH3NkIbqAUPfOYZrkTFGrXgTl941gVfIFowH3ZM-BzmEpfps5GJ5waRC2U-Brkfj13mswav9s3uj25dUh3CcYKsEZ3jvNDmQWWA_oRhu=w1280"
"aulas__cronograma-1-2022-2_007.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","7","","","https://lh3.googleusercontent.com/sitesv/AA5AbUDX36WiI1ufoCQnCrhdhP8qcqsHVlWX2wntgL3Qzl9N2PQdgO5nHTc9M-G7UAeqUydqlBvUsvN_dqDARmhCM-U_4sYBcbGao7o-qAQqhzTW6M_DFkCzQaKMPhZGZFHN2kc6sW28rRc6Ytsnuql4THLNxGkaSybjhh3gQ1YKaMpdHBr02hF_bfh85zU=w1280"
"aulas__cronograma-1-2022-2_008.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","8","","","https://lh3.googleusercontent.com/sitesv/AA5AbUBU3iq4EyRNQTe3-e1zL7Cy5OdsYhdY3M4DBajRDlEO2KaWKV4gEHagbvkcdAODwzVhLebd8SsSBSHXdUbtpa6Dwm2TEmpDn0gbouVw2O3lZJvRtIvc6186_8L9vkNIfhwdOrMFXcSCMHiw8vR6_lrdiIatQHX1ntkznRkFELsZaKpPGFm9H3-yGelU9QuulPNQS9rr--EWZH8TlBNXVGsOtHJicqnelYpjlSA=w1280"
"aulas__cronograma-2-2022-1_001.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","1","","","https://lh3.googleusercontent.com/sitesv/AA5AbUDIBMIsol48p9bsN1S9PRj36U8W-91tmFJJ4ftBksyNJZhSL_bz5z62fDN3y7L5xp9tirxSxHTZURsu9Rh7qqLB9g8Jc-1jNlpAsxztxMv4I5E1Y3dOtw9DuYH-u0vxzPbYa85MOsa-hdr-NjYIJ0e7UkqmQX8QdpFri3HmbuorjWf-Oa4RrUfF8DDqfFP_kfkvD22467OBiBN64MeWbNGH8Jk2COwGMCi0T4w=w1280"
"aulas__cronograma-2-2022-1_002.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","2","","","https://lh3.googleusercontent.com/sitesv/AA5AbUC7a3RjiegcSQ0nUgFWxj1OCgb-nyIMzRSxYkr4NMfJDIpWpSKJK4uzA1LHx-BuYugU5f_8doS24zi-IEAIk9x3qB-TNfkaEvxDD1T6YOVOqQUvveTcv9JxdZGRdRghuPIHORwVtPnlDDEFBT_ii3H3Kr3zKlO8OooeGEt-IGpv9EQeLfvH8IIYGL9bJPwYcqeensSAOXeVtq67TfMrl0zQVlho6wYbzksl=w1280"
"aulas__cronograma-2-2022-1_003.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","3","","","https://lh3.googleusercontent.com/sitesv/AA5AbUAmFK2n7w1ehjVV4TZrL03knQAXHjTLi4HsnIuRucM9hwnvHJdVzBRs8DQEHZiPMLVIEm4I8xHZD8TDp7hXDNx5evG1QAx9GXFCKoKr7fvb54YDKA6bgdJmI6jpaRyiK37sSMQ4S2waJasaxW99Fwm-Ckc1bYOLDMAbrSi5mYzOUBm-26c6Y_lRGBHGy_r4HZCJJ0111ZnWpj399Lq4jboNjEWArhkI_j1QkXw=w1280"
"aulas__cronograma-2-2022-1_004.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","4","","","https://lh3.googleusercontent.com/sitesv/AA5AbUCFejnvU4I2seh2qx13yJQLQ8UprYDxIXkN99WlhxMjcu99laKgSOnEpDYAhsMhAPflgAOs5v3jIyvYX0xrb_QPk8f31o9pPaIciW8NOdWhY0ThL9IDL2ZQcHJ97-mLVkBLofto-JdJNThsaNhn-GVPEZP5rVE1PDyfaczXU2gRvz5QtYLIoDdCPc4BjCbRAUMOHyNPyPUcX8L4zmsO57rL_wl7Vu0JIRQqjgA=w1280"
"aulas__cronograma-2-2022-1_005.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","5","","","https://lh3.googleusercontent.com/sitesv/AA5AbUCsYeLH75DEzQJwqmLrQGzOizVDpsb6US_5VhR3WsjRwL4thIO0gEdWt3O-g6z6GPD7HsIs5itY-4ah-YnLOh7qRKQFJKmZr0zgI5HJfzTC4MTjko6y6d09uZDFZhRAV_BuUGxMBsaQ_hG8gCpGDHOSbtdPqCq8NCxxPIBu3HOiVtSY-cePQ6Ex5oIV6KyrXGyuK7aedwWzS4TA_XDYK4GoRXnkqpy1pXcw8l0=w1280"
"aulas__cronograma-2-2022-1_006.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","6","","","https://lh3.googleusercontent.com/sitesv/AA5AbUDU92nOClRAsOqg5_JixnSLX3fGEg_ZjDC5WRjHsSvUHBRz2Vxr2bUAWwsrU2kctzfAZMtO_mjxHRJ0xMwNvp4d4pMk8CV4hduE97Vvah6rdIKJdfzLklIi7Ju1tvL13fVTHW8YVaVpnVla8S521YXlImF3X-24K6j4t67oLzCf4MaB2s9-HMpBB8yd8w0Y_eE01qEUND_azAUHC4W6JhCw3GyxeJbcnML1=w1280"
"aulas__cronograma-2-2022-1_007.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","7","","","https://lh3.googleusercontent.com/sitesv/AA5AbUAbXg966Uyv6Ivem2GzVm2DA5PtwmHZNm2K1eMhUWlR5u2qVDSFH6pCzsn2BM3h49M36stMKr_6dE8CKoxDMeSTFjaAd0Oo6UjDGY9ncPxedxBNpgslN0k_8h-QSxa0Le5chuQK5a64KArWZ_IEpWKxDfwflHLmMcj2-DV8QqsNU2gstjVJBhTP2AxekEAhsn36hFyOhViQlCiQ3c-fStvjEQFWXqrf8Eb3=w1280"
"aulas__cronograma-2-2022-1_008.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","8","","","https://lh3.googleusercontent.com/sitesv/AA5AbUBlLnoka2K0M9GWpqOKJ7MWU400Sa19K40qS2EL89lZUQqShlANyxkJnNmcWCRCB2Cxwb1y43zDMoyoYtZbjB43d1k_kMhYdZDtjY6gXNQh6-QujSpr78TdKdZcp6Op1cN1z9EC2H0FmZZU6kfKThvYoqyJKnwi2D4SwO7n8HDj_G7My96VH8DlldD6bOQAC4W5Du_BvL81um03OhYwNSDQhZWBIYQ49Dn1y-Y=w1280"
"aulas__cronograma-2-2022-1_009.png","/aulas/cronograma-2-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-2-2022-1","9","","","https://lh3.googleusercontent.com/sitesv/AA5AbUDAPq-vynM3Jg7HgHCmhNf20XofnwNgocLiXnPGAP-JQY-cZR_4bQ2vX_pwUuDtV21ckZgku5h2pDqY2MHOq6pm0x9kUdSfWerT8FzOoKdsZP0ziMAqvp38TqO4EaBmQe9N6o-UE_EaQWurnD6M7wLKtYAFyBgGyLzfWTux9DrVLom6JYhymhkkIvs3oHHzxtMv45f4vQ0OhhTTkFxh-jS9Buf6u2n8GDTO=w1280"
